type,vaccine,dose,central
death,AZ,1,0.876
death,AZ,2,0.986
death,AZ,waned,0.831
death,AZ,booster,0.99
death,PF,1,0.89
death,PF,2,0.99
death,PF,waned,0.904
death,PF,booster,0.99
severe_disease,AZ,1,0.807
severe_disease,AZ,2,0.985
severe_disease,AZ,waned,0.774
severe_disease,AZ,booster,0.99
severe_disease,PF,1,0.89
severe_disease,PF,2,0.99
severe_disease,PF,waned,0.904
severe_disease,PF,booster,0.99
disease,AZ,1,0.639
disease,AZ,2,0.921
disease,AZ,waned,0.288
disease,AZ,booster,0.923231444
disease,PF,1,0.786
disease,PF,2,0.986
disease,PF,waned,0.769
disease,PF,booster,0.923231444
infection,AZ,1,0.639
infection,AZ,2,0.921
infection,AZ,waned,0.288
infection,AZ,booster,0.923231444
infection,PF,1,0.786
infection,PF,2,0.986
infection,PF,waned,0.769
infection,PF,booster,0.923231444
transmission,AZ,1,0.45
transmission,AZ,2,0.45
transmission,AZ,waned,0.4
transmission,AZ,booster,0.4
transmission,PF,1,0.45
transmission,PF,2,0.45
transmission,PF,waned,0.4
transmission,PF,booster,0.4
